"","sensor_index","pm2.5_cf_1_a","latitude","longitude"
"403",51957,6.515,34.28453,-119.159515
"404",51977,13.082,34.265472,-118.786736
"405",51989,7.582,34.27992,-118.71339
"406",52019,9.954,34.284245,-118.79961
"407",52029,14.986,34.255333,-119.207
"408",52071,42.497,34.01001,-118.06955
"409",52081,84.966,34.041958,-117.01609
"410",52129,12.148,34.04229,-117.01605
"411",5218,29.695,34.074867,-118.14354
"412",5222,56.529,34.10024,-118.13673
"413",52277,30.198,33.92477,-117.95257
"414",5280,33.414,33.99946,-117.41594
"415",5284,23.475,33.99945,-117.41591
"416",52961,10.675,34.039486,-117.22263
"417",53043,10.437,33.98761,-118.445946
"418",53825,19.498,34.136917,-118.12625
"419",54047,11.746,34.04251,-117.75832
"420",54073,4.732,33.648235,-117.936
"421",54647,32.965,33.945774,-118.00542
"422",54689,72.49,33.89789,-118.1891
"423",547,49.98,34.065666,-118.02129
"424",54793,54.621,33.791676,-118.16113
"425",54809,17.833,34.198692,-118.20378
"426",54959,33.084,33.86606,-117.60392
"427",54975,62.967,33.86557,-118.17351
"428",54981,32.418,33.8436,-118.099106
"429",54985,83.377,33.840622,-118.16097
"430",54991,47.995,34.184517,-118.1344
"431",55141,1.176,33.976906,-118.03043
"432",55251,11.083,33.976788,-118.03014
"433",55351,19.593,34.10075,-118.17341
"434",55473,9.831,33.92776,-117.66165
"435",55477,10.558,33.78108,-118.394905
"436",5574,64.443,33.813465,-118.195885
"437",55881,1.302,34.052505,-118.262
"438",55899,4.143,33.836697,-118.38052
"439",55923,11.202,34.26589,-118.41869
"440",55955,33.405,34.23733,-118.55244
"441",56047,39.236,33.838673,-118.29809
"442",56073,16.735,34.262386,-118.4272
"443",56109,27.81,34.143806,-118.21793
"444",56119,11.479,34.27685,-118.41315
"445",56141,8.726,34.273697,-118.411705
"446",56207,9.544,34.265656,-118.43358
"447",56239,9.911,34.008266,-118.43928
"448",56457,10.25,33.649162,-117.67022
"449",56591,24.607,34.19031,-118.11096
"450",56899,2.699,34.038166,-118.40097
"451",57513,8.353,33.870506,-118.31335
"452",57517,68.058,33.781532,-118.213715
"453",5804,8.524,33.987106,-118.45132
"454",5810,6.347,34.03836,-118.51824
"455",583,42.552,34.089146,-118.22643
"456",5844,6.464,34.01726,-118.480606
"457",60479,53.212,34.106876,-118.152435
"458",60797,6.283,34.022175,-117.119576
"459",61015,8.243,33.973427,-118.45821
"460",61257,4.891,34.05617,-118.14269
"461",6162,12.998,33.8681,-118.34815
"462",6178,75.346,33.83253,-118.18794
"463",6214,17.042,33.861294,-117.95829
"464",6244,9.759,33.907906,-118.372604
"465",63395,38.605,34.1361,-118.22363
"466",6450,11.169,34.081703,-118.3675
"467",6458,24.055,34.17129,-118.17784
"468",64617,2.707,34.15067,-118.519806
"469",6472,48.804,34.111187,-118.21065
"470",64765,4.571,34.275894,-118.318
"471",6736,19.178,34.15206,-117.93399
"472",6806,34.42,33.999584,-117.41621
"473",6836,78.695,33.935528,-118.16851
"474",6852,22.013,34.199387,-118.17296
"475",6886,81.207,33.901363,-118.205055
"476",6908,23.972,34.123253,-118.175735
"477",6912,38.422,33.99948,-117.41627
"478",69201,22.699,34.142437,-117.84944
"479",69409,14.849,34.052208,-118.26123
"480",69411,3.6,34.031128,-118.388916
"481",69773,35.606,34.079445,-118.11298
"482",70599,1.76,34.28686,-119.19635
"483",70793,9.107,34.009174,-118.40904
"484",71353,93.029,34.086723,-118.38495
"485",71409,4.114,34.191765,-118.125946
"486",71451,3.303,34.077316,-118.94425
"487",71813,5.379,34.273727,-118.305725
"488",71975,2.401,34.110447,-118.31489
"489",72337,8.245,33.541534,-117.72325
"490",72459,50.486,34.089813,-118.102165
"491",72541,7.839,33.99846,-118.47709
"492",7272,13.389,33.786015,-118.37841
"493",7290,10.247,34.180466,-118.41769
"494",72999,3.628,34.17978,-118.28049
"495",73135,6.027,34.040134,-118.41064
"496",73229,6.291,34.254223,-118.34204
"497",73871,1.667,33.660496,-117.890854
"498",74069,52.91,34.101658,-118.246605
"499",7456,8.752,34.22506,-119.084625
"500",7460,5.861,33.879257,-117.88583
"501",75449,3.875,34.001537,-118.45701
"502",75883,6.413,34.07691,-118.48057
"503",76313,4.702,34.141197,-118.11191
"504",76321,1.456,34.025208,-118.48857
"505",76465,60.263,33.817127,-118.0781
"506",76469,31.082,34.135612,-118.140015
"507",76503,15.405,34.21728,-118.210754
"508",76511,9.175,33.76684,-118.3816
"509",76531,3.606,34.045063,-118.50814
"510",76575,13.375,34.188347,-118.95974
"511",76759,21.666,34.08747,-118.202
"512",76823,3.497,34.293034,-119.20321
"513",76833,10.716,33.59573,-117.88571
"514",77049,10.559,34.11671,-117.71153
"515",77077,7.91,34.08819,-118.59606
"516",77079,1.261,33.572083,-117.578156
"517",77095,2.674,33.96765,-118.41571
"518",78119,10.405,33.825012,-118.38138
"519",78521,3.154,34.202034,-118.159355
"520",78605,75.107,34.112587,-118.1534
"521",78733,13.369,33.849144,-118.37313
"522",78769,5.735,33.942833,-117.674904
"523",80411,6.09,33.4839,-117.36913
"524",80657,44.034,33.812214,-118.020454
"525",80773,4.405,34.044704,-118.49279
"526",81065,47.454,33.818794,-118.12335
"527",81219,7,34.24554,-118.50561
"528",81333,19.736,34.11329,-117.728096
"529",81347,18.471,34.251,-117.18134
"530",81543,13.177,33.53814,-117.5998
"531",81731,4.291,34.119446,-118.31143
"532",81863,16.523,34.15652,-117.987816
"533",81965,22.8,34.185333,-118.106705
"534",82053,14.397,34.142483,-118.00204
"535",82311,7.059,34.216087,-118.2438
"536",82349,18.686,34.15787,-117.59555
"537",82385,11.034,33.966743,-118.41536
"538",82437,13.817,34.133064,-118.70985
"539",82453,14.981,34.22152,-119.17218
"540",82483,12.614,33.769917,-117.817894
"541",82499,3.002,34.2457,-118.223946
"542",82541,3.538,33.67729,-118.023155
"543",82549,13.473,33.76817,-118.15491
"544",82569,32.359,34.14972,-118.216835
